National Center for Education Statistics (NCES),,,,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,,,
This report was generated using the NAEP Data Explorer. http://nces.ed.gov/nationsreportcard/naepdata/,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Average scale scores for mathematics, grade 8 by parental education level, from 2 questions [PARED], year and jurisdiction: 2015, 2013, 2011, and 2009",,,,,,,,,,,
,,,,,,,,,,,
,,Did not finish high school,,Graduated high school,,Some education after high school,,Graduated college,,Unknown,
Year,Jurisdiction,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error
2015,Alabama,254,(2.5),252,(2.3),271,(1.9),276,(1.4),252,(2.7)
,Alaska,‡,†,‡,†,‡,†,‡,†,‡,†
,Arizona,269,(2.3),271,(2.7),285,(1.9),297,(2.0),265,(2.1)
,Arkansas,266,(2.4),262,(2.4),280,(1.9),283,(1.6),261,(2.7)
,California,261,(2.0),263,(2.3),278,(2.2),293,(1.7),259,(2.1)
,Colorado,266,(2.6),270,(2.3),284,(2.3),299,(1.6),266,(2.9)
,Connecticut,254,(4.2),265,(2.1),275,(2.4),297,(1.4),261,(3.2)
,Delaware,264,(2.8),267,(2.0),280,(1.8),290,(1.1),263,(2.0)
,District of Columbia,258,(3.6),250,(2.0),269,(2.3),276,(1.6),254,(2.3)
,DoDEA,‡,†,276,(2.5),291,(1.9),295,(1.0),280,(3.5)
,Florida,264,(2.5),266,(2.1),280,(2.0),285,(1.6),257,(2.5)
,Georgia,269,(2.4),264,(1.9),281,(2.0),289,(1.5),260,(2.3)
,Hawaii,270,(4.4),264,(1.7),284,(1.6),289,(1.2),265,(2.5)
,Idaho,262,(2.6),267,(2.5),286,(1.9),294,(1.2),263,(2.6)
,Illinois,270,(3.1),268,(2.0),282,(1.7),293,(1.8),263,(2.3)
,Indiana,268,(3.1),274,(1.7),288,(2.0),297,(1.4),270,(3.1)
,Iowa,261,(3.5),272,(2.4),283,(2.0),296,(1.3),265,(2.6)
,Kansas,268,(4.1),272,(2.4),282,(1.8),293,(1.3),267,(2.5)
,Kentucky,260,(2.6),268,(1.6),281,(1.6),288,(1.1),259,(2.5)
,Louisiana,258,(2.5),259,(2.2),270,(1.9),277,(1.6),255,(2.3)
,Maine,267,(4.4),272,(1.9),283,(1.8),295,(1.0),260,(3.1)
,Maryland,265,(3.4),263,(1.9),282,(2.0),295,(1.6),261,(3.1)
,Massachusetts,267,(4.6),277,(2.7),293,(2.2),308,(1.4),271,(2.9)
,Michigan,261,(3.7),263,(2.1),275,(2.2),288,(1.5),261,(2.4)
,Minnesota,275,(3.3),278,(2.9),290,(1.8),304,(1.2),267,(2.8)
,Mississippi,258,(3.0),259,(2.0),279,(2.5),277,(1.5),261,(2.8)
,Missouri,257,(2.9),268,(2.0),285,(2.0),291,(1.4),261,(3.6)
,Montana,272,(3.7),270,(2.3),286,(1.8),296,(1.0),267,(3.0)
,Nebraska,262,(2.7),267,(2.1),288,(2.3),298,(1.0),260,(2.7)
,Nevada,263,(2.0),266,(1.5),283,(1.7),288,(1.3),259,(2.1)
,New Hampshire,269,(4.4),278,(1.9),290,(1.7),304,(1.0),273,(3.0)
,New Jersey,267,(4.5),273,(2.2),291,(2.1),303,(1.6),274,(3.4)
,New Mexico,261,(2.2),260,(1.6),277,(1.9),283,(1.4),255,(2.2)
,New York,267,(3.0),269,(2.5),283,(1.9),290,(1.6),265,(2.0)
,North Carolina,264,(2.4),267,(2.1),281,(1.8),294,(2.0),263,(3.1)
,North Dakota,266,(3.4),274,(2.3),286,(1.6),296,(0.9),267,(2.9)
,Ohio,259,(4.6),272,(2.1),284,(2.0),296,(1.4),266,(5.1)
,Oklahoma,263,(3.0),265,(1.8),277,(2.1),284,(1.7),260,(2.3)
,Oregon,268,(2.4),271,(1.9),283,(2.1),295,(1.6),263,(2.9)
,Pennsylvania,261,(3.4),265,(3.3),284,(2.3),297,(1.6),256,(3.4)
,Rhode Island,268,(2.5),269,(1.8),285,(2.0),293,(1.0),258,(2.3)
,South Carolina,271,(3.6),263,(2.3),278,(2.2),284,(1.3),258,(3.1)
,South Dakota,265,(4.1),269,(1.9),287,(1.9),292,(1.1),265,(3.3)
,Tennessee,265,(3.1),266,(2.0),281,(2.0),291,(2.2),259,(2.8)
,Texas,272,(1.9),275,(1.8),284,(2.0),296,(1.6),268,(2.1)
,Utah,‡,†,‡,†,‡,†,‡,†,‡,†
,Vermont,266,(3.6),277,(2.0),288,(2.5),301,(1.1),266,(2.9)
,Virginia,268,(3.2),272,(2.0),281,(1.9),298,(1.6),275,(2.0)
,Washington,266,(3.0),272,(2.6),288,(1.8),300,(1.4),267,(2.3)
,West Virginia,255,(2.9),261,(1.6),275,(1.8),280,(1.4),259,(3.3)
,Wisconsin,263,(3.8),271,(2.4),289,(2.1),299,(1.2),265,(2.6)
,Wyoming,272,(2.8),272,(1.7),285,(1.8),297,(1.0),271,(2.3)
2013,Alabama,252,(2.7),253,(2.0),274,(1.6),279,(2.0),257,(2.2)
,Alaska,‡,†,‡,†,‡,†,‡,†,‡,†
,Arizona,267,(2.3),268,(2.1),283,(2.0),294,(1.8),264,(1.8)
,Arkansas,267,(2.4),266,(1.9),281,(1.5),288,(1.4),265,(2.2)
,California,260,(1.7),266,(1.8),279,(2.1),292,(1.7),259,(1.8)
,Colorado,265,(3.4),271,(2.3),293,(1.8),302,(1.3),267,(2.7)
,Connecticut,260,(4.3),267,(2.0),280,(2.2),296,(1.2),263,(3.0)
,Delaware,268,(3.7),271,(1.7),282,(1.8),292,(1.1),267,(2.1)
,District of Columbia,257,(3.6),253,(2.1),271,(2.1),277,(1.7),253,(2.6)
,DoDEA,‡,†,278,(2.0),288,(1.7),295,(0.8),283,(2.3)
,Florida,266,(2.3),269,(1.5),286,(1.3),290,(1.0),266,(2.0)
,Georgia,267,(2.4),267,(1.6),281,(1.8),289,(1.5),262,(3.0)
,Hawaii,273,(4.0),270,(1.4),287,(1.7),291,(1.2),268,(2.3)
,Idaho,268,(2.2),270,(2.0),288,(1.8),296,(1.1),267,(2.1)
,Illinois,267,(2.3),272,(2.0),285,(1.8),297,(1.2),267,(2.4)
,Indiana,272,(2.9),276,(1.9),290,(1.7),298,(1.5),267,(2.6)
,Iowa,261,(4.2),272,(1.9),287,(1.8),294,(1.0),261,(2.0)
,Kansas,268,(3.3),277,(2.0),287,(1.9),300,(1.2),271,(2.2)
,Kentucky,262,(2.5),270,(1.4),281,(1.7),291,(1.2),265,(2.2)
,Louisiana,266,(2.7),265,(1.5),279,(1.4),279,(1.3),258,(2.6)
,Maine,270,(3.5),275,(1.9),285,(1.8),298,(0.9),270,(2.2)
,Maryland,269,(2.7),272,(1.7),288,(1.8),297,(1.4),266,(2.2)
,Massachusetts,274,(2.4),283,(2.2),298,(1.6),311,(1.2),278,(2.5)
,Michigan,260,(3.9),264,(2.2),279,(1.9),291,(1.6),260,(2.2)
,Minnesota,269,(4.5),274,(2.3),293,(2.3),305,(1.2),272,(2.7)
,Mississippi,265,(2.3),259,(1.5),278,(2.2),279,(1.3),256,(2.9)
,Missouri,265,(2.7),269,(1.7),289,(1.8),292,(1.3),268,(2.4)
,Montana,268,(2.5),279,(1.6),290,(1.8),297,(1.1),269,(2.9)
,Nebraska,267,(2.7),272,(1.9),287,(1.8),295,(1.0),263,(2.2)
,Nevada,265,(2.1),271,(1.5),288,(1.4),289,(1.2),263,(1.6)
,New Hampshire,274,(3.2),282,(1.6),293,(1.6),304,(1.0),276,(2.1)
,New Jersey,279,(3.5),277,(2.1),292,(1.9),306,(1.2),276,(2.7)
,New Mexico,264,(1.8),262,(1.4),277,(1.3),285,(1.3),259,(2.1)
,New York,265,(2.7),268,(1.9),282,(1.8),292,(1.1),266,(1.8)
,North Carolina,272,(2.7),273,(1.8),289,(1.8),296,(1.3),268,(2.2)
,North Dakota,270,(3.2),274,(1.8),290,(1.4),297,(0.6),273,(2.1)
,Ohio,267,(3.3),276,(1.8),290,(1.6),300,(1.2),265,(2.3)
,Oklahoma,261,(2.7),265,(1.9),281,(1.6),284,(1.2),264,(3.0)
,Oregon,266,(2.3),270,(1.7),286,(1.8),297,(1.6),262,(2.7)
,Pennsylvania,269,(3.3),276,(1.5),290,(1.6),299,(1.4),271,(2.8)
,Rhode Island,264,(2.5),269,(1.9),284,(1.9),297,(0.9),263,(2.6)
,South Carolina,267,(2.9),266,(1.8),282,(1.8),290,(1.4),262,(2.9)
,South Dakota,265,(3.0),272,(1.9),288,(1.9),297,(0.8),263,(2.4)
,Tennessee,261,(2.4),268,(1.9),282,(1.7),287,(1.5),260,(2.8)
,Texas,277,(1.5),278,(1.5),289,(1.7),299,(1.3),276,(1.6)
,Utah,258,(3.1),264,(2.1),284,(1.7),297,(0.8),255,(2.2)
,Vermont,270,(3.3),281,(1.4),295,(1.7),306,(0.9),270,(2.7)
,Virginia,269,(2.7),271,(1.6),284,(2.0),300,(1.6),271,(2.0)
,Washington,270,(2.2),275,(2.1),290,(1.7),303,(1.3),271,(2.5)
,West Virginia,259,(2.5),265,(1.4),279,(1.5),284,(1.3),255,(3.0)
,Wisconsin,265,(3.1),274,(1.7),288,(1.5),298,(1.0),270,(2.6)
,Wyoming,272,(2.6),275,(1.3),291,(1.3),296,(0.8),273,(2.0)
2011,Alabama,257,(2.7),258,(2.0),275,(1.6),278,(1.8),244,(2.8)
,Alaska,‡,†,‡,†,‡,†,‡,†,‡,†
,Arizona,267,(2.4),264,(1.8),281,(2.0),296,(1.4),257,(2.6)
,Arkansas,269,(2.1),268,(1.5),283,(2.0),288,(1.5),265,(2.5)
,California,254,(1.9),261,(2.4),281,(1.6),290,(1.8),257,(1.6)
,Colorado,264,(2.7),272,(1.9),293,(1.7),304,(1.3),267,(2.5)
,Connecticut,259,(3.0),268,(2.2),284,(1.7),298,(1.3),270,(2.3)
,Delaware,269,(2.9),274,(1.7),286,(1.3),290,(1.1),270,(2.0)
,District of Columbia,255,(3.3),251,(2.0),266,(1.7),269,(1.4),248,(1.9)
,DoDEA,‡,†,276,(1.8),287,(1.8),293,(1.1),275,(3.1)
,Florida,265,(1.9),268,(1.6),282,(1.7),286,(1.3),263,(1.7)
,Georgia,268,(2.5),264,(2.0),282,(1.7),288,(1.4),263,(2.8)
,Hawaii,261,(3.8),267,(1.5),282,(1.9),286,(1.1),271,(1.8)
,Idaho,267,(2.1),274,(1.7),288,(1.7),297,(1.0),267,(2.3)
,Illinois,271,(2.2),268,(1.6),285,(1.6),294,(1.5),268,(2.2)
,Indiana,270,(2.5),274,(1.5),285,(1.9),295,(1.3),270,(2.2)
,Iowa,268,(2.5),274,(1.8),283,(1.7),295,(1.1),260,(2.7)
,Kansas,272,(2.8),278,(1.9),290,(1.6),298,(1.2),274,(2.0)
,Kentucky,267,(1.9),272,(1.7),281,(1.4),293,(1.2),268,(2.5)
,Louisiana,262,(2.4),267,(1.8),278,(1.8),278,(1.3),264,(2.4)
,Maine,269,(3.1),274,(1.9),289,(1.8),298,(1.0),271,(2.7)
,Maryland,264,(4.0),271,(2.1),288,(1.8),298,(1.3),265,(2.5)
,Massachusetts,271,(2.7),285,(1.7),295,(1.8),307,(0.9),281,(2.2)
,Michigan,260,(3.9),266,(1.9),278,(2.2),291,(1.7),261,(3.2)
,Minnesota,267,(3.9),275,(2.3),294,(1.8),305,(1.0),271,(2.4)
,Mississippi,260,(2.7),257,(2.1),276,(1.7),276,(1.6),257,(3.1)
,Missouri,265,(2.6),270,(1.8),283,(1.6),291,(1.4),269,(2.8)
,Montana,272,(4.1),281,(1.8),291,(1.8),302,(0.7),267,(3.0)
,Nebraska,262,(2.6),271,(2.2),280,(1.6),294,(1.0),259,(2.3)
,Nevada,262,(2.1),269,(1.6),285,(1.8),290,(1.3),266,(2.2)
,New Hampshire,269,(3.2),281,(1.7),290,(2.0),300,(0.9),274,(2.1)
,New Jersey,273,(3.4),280,(2.3),287,(2.3),304,(1.2),275,(2.5)
,New Mexico,259,(2.0),267,(1.7),279,(1.6),287,(1.0),260,(1.9)
,New York,266,(2.0),270,(1.6),282,(1.6),289,(1.1),268,(2.1)
,North Carolina,273,(2.7),272,(1.6),289,(1.4),295,(1.3),271,(2.3)
,North Dakota,‡,†,276,(1.8),291,(1.8),298,(0.7),274,(2.7)
,Ohio,266,(2.8),277,(1.4),290,(1.5),297,(1.3),271,(2.9)
,Oklahoma,264,(2.4),267,(1.9),280,(1.3),292,(1.3),262,(2.7)
,Oregon,266,(2.0),273,(2.0),286,(1.9),295,(1.2),262,(2.3)
,Pennsylvania,261,(4.7),274,(1.3),289,(1.9),296,(1.5),266,(2.3)
,Rhode Island,263,(2.6),269,(2.0),281,(1.8),296,(0.9),261,(2.0)
,South Carolina,262,(2.3),269,(1.6),283,(1.7),290,(1.4),266,(2.4)
,South Dakota,269,(2.5),275,(1.3),291,(1.6),298,(0.7),273,(2.9)
,Tennessee,262,(3.4),265,(1.5),277,(1.6),284,(1.6),254,(2.9)
,Texas,281,(1.9),285,(1.4),293,(1.6),301,(1.3),275,(1.8)
,Utah,253,(2.6),265,(1.9),280,(1.8),295,(1.0),260,(2.1)
,Vermont,270,(3.3),276,(2.0),295,(1.7),305,(0.9),268,(2.6)
,Virginia,267,(2.6),272,(2.0),287,(1.7),300,(1.3),270,(3.0)
