National Center for Education Statistics (NCES),,,
Institute of Education Sciences (IES),,,
National Assessment of Educational Progress (NAEP),,,
This report was generated using the NAEP Data Explorer. http://nces.ed.gov/nationsreportcard/naepdata/,,,
,,,
,,,
"Average scale scores for mathematics, grade 8 by all students [TOTAL], year and jurisdiction: 2015, 2013, 2011, and 2009",,,
,,,
,,All students,
Year,Jurisdiction,Average scale score,Standard Error
2015,Alabama,267,1.237077647
,Alaska,280,0.961962086
,Arizona,283,1.393382744
,Arkansas,275,1.42918638
,California,275,1.325073978
,Colorado,286,1.471087019
,Connecticut,284,1.192383679
,Delaware,280,0.745612946
,District of Columbia,263,0.905593115
,DoDEA,291,0.724196288
,Florida,275,1.361171881
,Georgia,279,1.214348463
,Hawaii,279,0.819023101
,Idaho,284,0.887649982
,Illinois,282,1.309585057
,Indiana,287,1.177901648
,Iowa,286,1.154831195
,Kansas,284,1.284633133
,Kentucky,278,0.922919374
,Louisiana,268,1.399558087
,Maine,285,0.691733604
,Maryland,283,1.228420134
,Massachusetts,297,1.425141805
,Michigan,278,1.303097252
,Minnesota,294,1.023413111
,Mississippi,271,1.135043304
,Missouri,281,1.246973107
,Montana,287,0.847916673
,Nebraska,286,0.791784115
,Nevada,275,0.733431913
,New Hampshire,294,0.899004347
,New Jersey,293,1.236230338
,New Mexico,271,1.002995535
,New York,280,1.360010673
,North Carolina,281,1.557841984
,North Dakota,288,0.665776215
,Ohio,285,1.573699103
,Oklahoma,275,1.305415039
,Oregon,283,1.202487943
,Pennsylvania,284,1.453284472
,Rhode Island,281,0.655358293
,South Carolina,276,1.267147432
,South Dakota,285,0.919674508
,Tennessee,278,1.787746522
,Texas,284,1.211966888
,Utah,286,1.092945946
,Vermont,290,0.742819258
,Virginia,288,1.245025612
,Washington,287,1.282302219
,West Virginia,271,0.851155186
,Wisconsin,289,1.307691661
,Wyoming,287,0.722102158
2013,Alabama,269,1.339239642
,Alaska,282,0.934322953
,Arizona,280,1.213532648
,Arkansas,278,1.0760638
,California,276,1.178423615
,Colorado,290,1.22532574
,Connecticut,285,1.137820465
,Delaware,282,0.714813921
,District of Columbia,265,0.897590598
,DoDEA,290,0.751117458
,Florida,281,0.811512831
,Georgia,279,1.214620799
,Hawaii,281,0.771798636
,Idaho,286,0.724409784
,Illinois,285,0.997054765
,Indiana,288,1.131966261
,Iowa,285,0.928820187
,Kansas,290,1.034501862
,Kentucky,281,0.915339062
,Louisiana,273,0.852075863
,Maine,289,0.726086123
,Maryland,287,1.060250868
,Massachusetts,301,0.931632139
,Michigan,280,1.329113235
,Minnesota,295,1.020566968
,Mississippi,271,0.938383589
,Missouri,283,1.041230943
,Montana,289,0.888627711
,Nebraska,285,0.911320107
,Nevada,278,0.723856812
,New Hampshire,296,0.836860991
,New Jersey,296,1.081919232
,New Mexico,273,0.671420281
,New York,282,0.912979119
,North Carolina,286,1.140144861
,North Dakota,291,0.545110039
,Ohio,290,1.123860306
,Oklahoma,276,1.035896821
,Oregon,284,1.073414419
,Pennsylvania,290,1.017235296
,Rhode Island,284,0.569991821
,South Carolina,280,1.098390714
,South Dakota,287,0.712902623
,Tennessee,278,1.269721592
,Texas,288,1.000197816
,Utah,284,0.890050963
,Vermont,295,0.667606128
,Virginia,288,1.192522547
,Washington,290,1.014569148
,West Virginia,274,0.907572551
,Wisconsin,289,0.870916323
,Wyoming,288,0.537064911
2011,Alabama,269,1.39966536
,Alaska,283,0.790662641
,Arizona,279,1.218207162
,Arkansas,279,0.980360671
,California,273,1.200866917
,Colorado,292,1.100457497
,Connecticut,287,1.087462509
,Delaware,283,0.668584258
,District of Columbia,260,0.683986357
,DoDEA,288,0.785166074
,Florida,278,0.84277703
,Georgia,278,1.026048681
,Hawaii,278,0.701570306
,Idaho,287,0.776739824
,Illinois,283,1.062095344
,Indiana,285,0.990966454
,Iowa,285,0.872979549
,Kansas,290,0.884028425
,Kentucky,282,0.891738314
,Louisiana,273,1.15543964
,Maine,289,0.769922658
,Maryland,288,1.23180638
,Massachusetts,299,0.810764855
,Michigan,280,1.421654865
,Minnesota,295,0.978224496
,Mississippi,269,1.395847087
,Missouri,282,1.136484922
,Montana,293,0.64378033
,Nebraska,283,0.787973547
,Nevada,278,0.847563476
,New Hampshire,292,0.670084865
,New Jersey,294,1.160587448
,New Mexico,274,0.83157089
,New York,280,0.923012144
,North Carolina,286,1.01231753
,North Dakota,292,0.579772894
,Ohio,289,1.03854704
,Oklahoma,279,1.026172644
,Oregon,283,1.032959366
,Pennsylvania,286,1.150933852
,Rhode Island,283,0.512033329
,South Carolina,281,1.077134213
,South Dakota,291,0.518391138
,Tennessee,274,1.166568209
,Texas,290,0.949055784
,Utah,283,0.782444027
,Vermont,294,0.715925798
,Virginia,289,1.132031369
,Washington,288,1.01379985
,West Virginia,273,0.71995848
,Wisconsin,289,0.971400925
,Wyoming,288,0.60308165
2009,Alabama,269,1.249081971
,Alaska,283,1.021256263
,Arizona,277,1.440806215
,Arkansas,276,1.139445818
,California,270,1.30163957
,Colorado,287,1.370639826
,Connecticut,289,0.97815293
,Delaware,284,0.525403562
,District of Columbia,254,0.861215147
,DoDEA,287,0.913132461
,Florida,279,1.082144711
,Georgia,278,0.911967889
,Hawaii,274,0.652641471
,Idaho,287,0.815011359
,Illinois,282,1.210012041
,Indiana,287,0.904840627
,Iowa,284,0.988146142
,Kansas,289,0.951373561
,Kentucky,279,1.091719377
,Louisiana,272,1.588203898
,Maine,286,0.742727036
,Maryland,288,1.127881933
,Massachusetts,299,1.337364477
,Michigan,278,1.565166934
,Minnesota,294,1.027441618
,Mississippi,265,1.194428911
,Missouri,286,0.970046962
,Montana,292,0.866440518
,Nebraska,284,1.079982602
,Nevada,274,0.74938355
,New Hampshire,292,0.890677504
,New Jersey,293,1.429058591
,New Mexico,270,1.080839712
,New York,283,1.248453264
,North Carolina,284,1.284754488
,North Dakota,293,0.678890771
,Ohio,286,1.000952765
,Oklahoma,276,1.047214543
,Oregon,285,1.016116626
,Pennsylvania,288,1.251582266
,Rhode Island,278,0.772118068
,South Carolina,280,1.276680934
,South Dakota,291,0.505050961
,Tennessee,275,1.377451024
,Texas,287,1.260709152
,Utah,284,0.93425259
,Vermont,293,0.562115844
,Virginia,286,1.149246277
,Washington,289,0.984995321
,West Virginia,270,1.002592963
,Wisconsin,288,0.912755292
,Wyoming,286,0.624974365
,,,
NOTE: The NAEP Mathematics scale ranges from 0 to 500. Some apparent differences between estimates may not be statistically significant.,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 2009, 2011, 2013 and 2015 Mathematics Assessments.",,,
